area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,16-Mar,Hosur Road,2 BHK,PuendWe,1194.0,2.0,0.0,69.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,Danna S,1150.0,2.0,3.0,69.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1419.0,2.0,2.0,48.1
Super built-up  Area,Ready To Move,Suddaguntepalya,3 BHK,MSanaer,1450.0,3.0,2.0,55.0
Super built-up  Area,18-Jul,Udayapur Village,3 BHK,Plowsri,1630.0,3.0,2.0,68.29
Super built-up  Area,Ready To Move,Dasanapura,2 BHK,Tavenew,708.0,1.0,1.0,40.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Ocavees,1250.0,2.0,1.0,76.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brnia G,1400.0,2.0,1.0,95.0
Super built-up  Area,Ready To Move,Ardendale,3 BHK,SoystAm,1750.0,3.0,2.0,100.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404.0,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Hoodi,3 BHK,SMaxyay,1715.0,2.0,2.0,95.0
Built-up  Area,18-Apr,Electronic City,1 BHK,Prarkun,630.0,1.0,1.0,34.65
Super built-up  Area,Ready To Move,Harlur,3 BHK,SosicCl,1752.12,3.0,2.0,135.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1295.0,2.0,1.0,55.47
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,Bancyri,1800.0,3.0,2.0,252.0
Super built-up  Area,18-Sep,Sarjapur  Road,2 BHK,PualeSk,1346.0,2.0,1.0,74.03
Super built-up  Area,Ready To Move,Hormavu,2 BHK,ElavuHo,1150.0,2.0,2.0,55.0
Built-up  Area,Ready To Move,Chikkabidarakallu,4 Bedroom,Gontyol,3309.0,4.0,3.0,325.0
Super built-up  Area,18-May,Chandapura,3 BHK,SunceEs,1190.0,2.0,2.0,30.35
Super built-up  Area,Ready To Move,AECS Layout,3 BHK,DSutyng,1620.0,3.0,2.0,98.0
Super built-up  Area,Ready To Move,1 Giri Nagar,11 BHK,Bancyri,5000.0,9.0,3.0,360.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SrEndPo,2450.0,3.0,0.0,120.0
Super built-up  Area,18-May,Electronic City Phase II,3 BHK,Sryalan,1220.0,2.0,1.0,35.23
Super built-up  Area,Ready To Move,Hoysalanagar,2 BHK,RKntsrt,850.0,2.0,1.0,30.0
Super built-up  Area,Ready To Move,Defence Colony,2 BHK,Vantspa,1150.0,2.0,2.0,126.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1760.0,2.0,2.0,130.0
Super built-up  Area,Ready To Move,Amruthahalli,2 BHK,Prowsi ,900.0,2.0,1.0,40.0
Super built-up  Area,18-May,Whitefield,2 BHK,SMuilan,1130.0,2.0,1.0,42.16
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Proodt ,1320.0,2.0,1.0,165.0
Built-up  Area,Ready To Move,Patelappa Layout,2 BHK,Sryamar,1200.0,2.0,1.0,62.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,Prldsri,929.0,2.0,0.0,50.17
Built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,LiaveEn,1150.0,4.0,2.0,260.0
Plot  Area,Ready To Move,3rd Block Hrbr Layout,5 Bedroom,Bemesrm,1200.0,5.0,2.0,190.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,Vrensn ,1130.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1753.0,3.0,2.0,120.0
Super built-up  Area,Ready To Move,Old Madras Road,5 BHK,Brica E,4500.0,7.0,3.0,337.0
Super built-up  Area,22-Jun,Hoodi,2 BHK,GoAirej,1196.0,2.0,2.0,94.42
Built-up  Area,Ready To Move,5th Phase JP Nagar,2 BHK,Prenty ,1150.0,3.0,3.0,52.5
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Omkar Nagar,2 BHK,Shinei ,1000.0,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Apows M,1035.0,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SVineun,1040.0,2.0,1.0,48.5
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1511.0,3.0,1.0,95.0
Super built-up  Area,19-Dec,Hoodi,3 BHK,Caycend,1545.0,3.0,1.0,68.75
Super built-up  Area,Ready To Move,JP Nagar,2 BHK,DSvvyx ,1000.0,2.0,1.0,35.0
Super built-up  Area,17-May,Kambipura,2 BHK,Prrtht ,883.0,2.0,1.0,45.0
Super built-up  Area,19-Apr,Sarjapur  Road,2 BHK,Brareio,1195.0,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246.0,2.0,1.0,67.0
Super built-up  Area,18-Dec,Haralur Road,4 BHK,SNnia E,2805.0,5.0,3.0,154.0
Super built-up  Area,Ready To Move,VHBCS Layout,2 BHK,OlarkLa,1353.0,2.0,2.0,110.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,SuMTBPr,1150.0,2.0,1.0,70.0
Super built-up  Area,17-Dec,Jakkur,4 BHK,Lecco C,5230.0,6.0,1.0,465.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,Jahidva,1155.0,2.0,2.0,42.74
Built-up  Area,Ready To Move,Rajiv Nagar,3 BHK,PuoodSk,1867.0,3.0,1.0,160.0
Super built-up  Area,18-Jun,Ramagondanahalli,2 BHK,ViistLa,1251.0,2.0,1.0,47.0
Super built-up  Area,18-Apr,Gattahalli,2 BHK,Arano M,1028.0,2.0,1.0,45.5
Super built-up  Area,Ready To Move,Arekere,2 BHK,Amngsag,1222.0,2.0,2.0,45.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1170.0,2.0,1.0,66.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Kacesh ,2400.0,4.0,1.0,245.0
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,SrisePo,1372.0,2.0,1.0,68.0
Super built-up  Area,Ready To Move,Magadi Road,3 BHK,Bilya A,1282.0,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Mico Layout,9 BHK,Amsomun,5000.0,9.0,3.0,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Shdhia ,1135.0,2.0,1.0,39.73
Built-up  Area,Ready To Move,Byatarayanapura,3 BHK,Foconna,1325.0,2.0,1.0,90.0
Super built-up  Area,18-Apr,Electronic City,3 BHK,Prarkun,1599.0,3.0,2.0,99.0
Super built-up  Area,18-Sep,Hennur Road,2 BHK,Shxorm ,1317.5,2.0,0.0,63.77
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Brium C,3450.0,5.0,2.0,260.0
Super built-up  Area,18-Apr,Munnekollal,2 BHK,Sadhii ,1102.0,2.0,2.0,53.67
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Sahanra,1350.0,2.0,2.0,54.0
Super built-up  Area,21-Dec,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,27.25
Built-up  Area,Ready To Move,Attibele,2 BHK,Jae 2hu,656.0,2.0,1.0,25.0
Super built-up  Area,Ready To Move,3rd Block Hrbr Layout,2 BHK,Icncy R,1056.0,2.0,1.0,80.0
Super built-up  Area,21-Feb,Bannerghatta Road,1 BHK,Hiatei ,595.0,1.0,1.0,33.32
Super built-up  Area,19-Dec,7th Phase JP Nagar,3 BHK,Puarero,2225.0,3.0,1.0,160.0
Super built-up  Area,18-Aug,Bommasandra,2 BHK,DSoodil,1126.0,2.0,1.0,28.15
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,GaicaVe,1490.0,3.0,1.0,84.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,PuineSu,1550.0,3.0,3.0,100.0
Built-up  Area,Ready To Move,Whitefield,4 Bedroom,PrOakSi,4144.0,4.0,3.0,315.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Supleon,2100.0,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1404.0,2.0,1.0,69.3
Plot  Area,Ready To Move,Sarjapur  Road,4 Bedroom,LGestbo,2230.0,4.0,3.0,225.0
Super built-up  Area,18-May,Banashankari Stage III,3 BHK,Pridsi ,1305.0,2.0,1.0,58.7
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Aahts H,1230.0,2.0,2.0,80.0
Super built-up  Area,19-Dec,Hormavu,1 BHK,Kolisl ,715.0,1.0,2.0,46.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Toindls,2500.0,3.0,2.0,313.0
Super built-up  Area,Ready To Move,Dooravani Nagar,3 BHK,Puceswn,1578.0,3.0,1.0,180.0
Super built-up  Area,Ready To Move,Jigani,2 BHK,i1odsne,1020.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Ansna K,1253.0,2.0,1.0,102.0
Super built-up  Area,Ready To Move,JCR Layout,2 BHK,ARnamru,1180.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Nehru Nagar,2 BHK,Veyalin,961.0,2.0,2.0,38.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,SomonCi,1709.0,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Sneha Colony,2 BHK,Daill S,1260.0,2.0,2.0,45.0
Built-up  Area,Ready To Move,RMV Extension,3 BHK,DSureSi,1630.0,3.0,2.0,85.0
Super built-up  Area,19-May,Sarjapur  Road,3 BHK,Soini T,1249.0,3.0,2.0,44.71
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,MancyRe,1450.0,2.0,3.0,85.0
Super built-up  Area,17-Nov,Konanakunte,3 BHK,Prasa W,2791.0,3.0,1.0,223.0
Built-up  Area,Ready To Move,Ashwini layout,1 BHK,Kaantth,834.0,1.0,1.0,60.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,Drente ,891.0,2.0,1.0,25.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1133.0,2.0,1.0,49.07
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,37.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,SGandea,1090.0,2.0,1.0,42.0
Super built-up  Area,18-Dec,Hebbal,3 BHK,Mahosya,1920.0,3.0,2.0,134.0
Built-up  Area,Ready To Move,HRBR Layout,2 BHK,Eline P,1374.0,2.0,2.0,95.0
Super built-up  Area,19-Dec,Kanakapura,1 BHK,GoityEt,711.0,1.0,1.0,36.0
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,SosonGa,1500.0,3.0,3.0,95.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,Gotis A,1720.0,3.0,3.0,100.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,PrntaEn,1200.0,2.0,1.0,85.0
Carpet  Area,18-Jul,Hosahalli,3 BHK,NSezeBr,1375.0,3.0,2.0,70.0
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,Tahtsla,2250.0,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,Sronda ,1000.0,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Jalahalli West,1 BHK,Prntsax,469.0,1.0,0.0,25.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,PueraRi,3800.0,4.0,3.0,250.0
Super built-up  Area,Ready To Move,Kambipura,2 BHK,Prrtht ,883.0,2.0,1.0,29.0
Super built-up  Area,Ready To Move,GM Palaya,3 BHK,Chnts A,1820.0,2.0,3.0,86.0
Built-up  Area,Ready To Move,Malleshwaram,4 BHK,GaityEt,2500.0,5.0,2.0,325.0
Super built-up  Area,Ready To Move,Jalahalli East,1 BHK,ShshaSa,750.0,1.0,2.0,40.0
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2378.0,3.0,1.0,262.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Ahownve,1128.0,2.0,1.0,60.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Cevely ,1500.0,3.0,1.0,150.0
Super built-up  Area,20-Oct,Kanakpura Road,3 BHK,PrarePa,1100.0,2.0,1.0,58.0
Super built-up  Area,Ready To Move,Bommasandra,3 BHK,Vaodspe,1200.0,3.0,2.0,46.0
Super built-up  Area,Ready To Move,Nagondanahalli,3 BHK,DSldsen,1641.0,3.0,2.0,66.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,NaonySy,1260.0,2.0,1.0,67.39
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Rarthne,1132.5,2.0,0.0,48.13
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,Pyikad ,1210.0,2.0,1.0,45.98
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,2.0,1.0,45.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,Soitya ,1702.0,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Shanthala Nagar,2 BHK,Malex C,1630.0,2.0,2.0,200.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1141.0,2.0,2.0,38.55
Built-up  Area,18-Mar,Bettahalsoor,4 Bedroom,Toainnt,4046.0,4.0,0.0,445.0
Built-up  Area,Ready To Move,Yelahanka,3 BHK,Edreelm,35000.0,3.0,3.0,130.0
Super built-up  Area,Ready To Move,Ambedkar Colony,3 BHK,RMcesa ,1875.0,3.0,2.0,165.0
Plot  Area,Ready To Move,Brookefield,3 Bedroom,Krreera,1200.0,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,PaantPl,1140.0,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Soiewre,1683.0,3.0,1.0,109.0
Super built-up  Area,19-Dec,Hoodi,4 BHK,Caycend,2118.0,4.0,2.0,111.0
Built-up  Area,Ready To Move,Avalahalli,3 BHK,Sohea A,2300.0,3.0,3.0,120.0
Super built-up  Area,Ready To Move,Prakruthi Nagar,2 BHK,MSvelek,1240.0,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Surabhi Layout,3 BHK,VDdonel,1750.0,3.0,1.0,120.0
Super built-up  Area,Ready To Move,Abbigere,2 BHK,SLtias ,985.0,2.0,1.0,40.39
Plot  Area,Ready To Move,Tindlu,3 Bedroom,Hentye ,1500.0,2.0,1.0,87.0
Built-up  Area,Ready To Move,Maruthi Sevanagar,2 BHK,SMikaay,950.0,2.0,1.0,44.0
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,Sryalan,1090.0,2.0,1.0,28.34
Super built-up  Area,18-Apr,Kammasandra,2 BHK,Prony S,810.0,2.0,2.0,24.5
Super built-up  Area,Ready To Move,Green Garden Layout,2 BHK,PaisePa,1045.0,2.0,0.0,45.0
Super built-up  Area,18-Sep,Hebbal,2 BHK,Arcia S,1337.0,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Koramangala,3 BHK,TealeRo,1580.0,3.0,2.0,160.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1500.0,2.0,3.0,54.0
Super built-up  Area,18-Sep,Whitefield,3 BHK,Umods W,1640.0,4.0,2.0,91.0
Super built-up  Area,Ready To Move,Silver Springs Layout,3 BHK,SSarlPe,1570.0,3.0,2.0,62.0
Super built-up  Area,Ready To Move,Gubbalala,3 BHK,MauilTr,1470.0,2.0,2.0,82.0
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,Brnia G,1050.0,2.0,1.0,71.0
Super built-up  Area,20-Jun,Dairy Circle,3 BHK,Soeurri,1855.0,3.0,1.0,225.0
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,SNity S,1460.0,2.0,1.0,90.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Daives ,1094.0,2.0,2.0,42.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,PrityTr,1153.0,2.0,2.0,57.0
Built-up  Area,Ready To Move,Hoysalanagar,3 BHK,PNncysi,1325.0,3.0,1.0,57.0
Built-up  Area,Ready To Move,Jakkur,3 BHK,Socon Z,1590.0,2.0,2.0,125.0
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,2 BHK,Krite D,1202.0,2.0,1.0,48.0
Super built-up  Area,Ready To Move,KSRTC Layout,2 BHK,Srisei ,1200.0,2.0,3.0,62.5
Super built-up  Area,18-Feb,Panathur,3 BHK,Prcesvy,1688.0,3.0,1.0,118.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Soestrn,1020.0,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,Coa 3t ,1185.0,2.0,2.0,47.0
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,ViistLa,1235.0,2.0,1.0,52.04
Super built-up  Area,Ready To Move,Hosakerehalli,4 BHK,Taonte ,3205.0,5.0,1.0,500.0
Super built-up  Area,Ready To Move,Kengeri Satellite Town,3 BHK,MB-laan,1415.0,2.0,3.0,66.0
Super built-up  Area,18-Apr,EPIP Zone,3 BHK,BrontLa,2330.0,3.0,2.0,162.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,JahanSa,805.0,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,DNlleks,1155.0,2.0,3.0,59.95
Built-up  Area,Ready To Move,New Gurappana Palya,2 BHK,Alncy R,1100.0,2.0,0.0,48.0
Super built-up  Area,Ready To Move,Ambedkar Colony,2 BHK,RMcesa ,1468.0,2.0,1.0,140.0
Plot  Area,Ready To Move,Palanahalli,4 Bedroom,RMaanSa,4300.0,5.0,2.0,550.0
Super built-up  Area,18-Dec,Whitefield,3 BHK,Prtates,2280.0,4.0,2.0,126.0
Super built-up  Area,Ready To Move,Hegde Nagar,2 BHK,Soiniy ,1341.0,2.0,1.0,97.0
Super built-up  Area,18-Dec,Electronic City Phase II,4 BHK,SNbay G,2225.0,4.0,0.0,98.88
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185.0,2.0,2.0,43.51
Super built-up  Area,Ready To Move,Vadarpalya,3 BHK,VMianri,1750.0,3.0,2.0,85.0
Super built-up  Area,Ready To Move,Kudlu,2 BHK,GKityel,1152.0,2.0,1.0,53.5
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,Jaise P,1300.0,2.0,3.0,36.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,Siayayo,1101.0,2.0,0.0,45.0
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,IBityin,667.0,1.0,1.0,36.85
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GMown E,1070.0,2.0,1.0,55.0
Built-up  Area,Ready To Move,Old Airport Road,3 BHK,Trnce A,1875.0,2.0,2.0,110.0
Super built-up  Area,Ready To Move,Kundalahalli,2 BHK,Dieldli,735.0,2.0,1.0,57.99
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,PuilaMi,1215.0,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,Prodsth,820.0,2.0,1.0,30.0
Super built-up  Area,20-Dec,Banashankari Stage VI,2 BHK,Brens7 ,1177.5,2.0,0.0,59.935
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,PaontWa,1779.0,3.0,2.0,89.61
Built-up  Area,Ready To Move,HMT Layout,2 BHK,HMRWAyo,1105.0,2.0,2.0,58.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,UKkente,1650.0,3.0,2.0,60.0
Super built-up  Area,Ready To Move,Jalahalli,2 BHK,Tahtsla,1694.0,2.0,2.0,150.0
Super built-up  Area,Ready To Move,Hosakerehalli,3 BHK,Taonte ,2376.0,3.0,1.0,203.0
Super built-up  Area,Ready To Move,Kammasandra,2 BHK,Icingpy,674.0,2.0,1.0,33.0
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,SLireap,1185.0,2.0,1.0,41.0
Super built-up  Area,Ready To Move, Thanisandra,1 RK,Bhmesy ,445.0,1.0,0.0,28.0
Super built-up  Area,Ready To Move,Gottigere,3 BHK,Sklls C,1618.0,3.0,3.0,82.5
Super built-up  Area,Ready To Move,Koramangala,2 BHK,Vaanda ,1120.0,2.0,0.0,65.0
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,Sutte C,2181.0,3.0,2.0,152.0
Super built-up  Area,18-Oct,Bannerghatta Road,3 BHK,DSnjh S,1556.0,2.0,1.0,59.13
Super built-up  Area,19-Feb,Bannerghatta Road,2 BHK,Hiatei ,1179.0,2.0,1.0,66.02
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,Bhmesy ,1296.0,2.0,2.0,83.0
Built-up  Area,Ready To Move,Kaggadasapura,2 BHK,VSomepi,1275.0,2.0,2.0,52.0
Super built-up  Area,Ready To Move,Gottigere,2 BHK,Krryll ,1222.0,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Palleon,940.0,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,MenueNo,1185.0,2.0,2.0,42.6
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,Soite E,1779.0,3.0,2.0,112.0
Super built-up  Area,Ready To Move,Begur Road,3 BHK,Dhalsh ,1615.0,3.0,2.0,59.76
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,Zostaa ,1056.0,2.0,1.0,61.0
Built-up  Area,Ready To Move,Arekere,2 BHK,Prdowth,920.0,2.0,1.0,40.0
Super built-up  Area,Ready To Move,ITI Layout,3 BHK,BMityre,1602.0,2.0,0.0,75.0
Built-up  Area,Ready To Move,Kasavanhalli,3 BHK,HMonymp,1717.0,3.0,3.0,99.0
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,Rosha I,2119.0,4.0,3.0,111.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,Prlla C,1246.0,2.0,1.0,67.3
Super built-up  Area,17-Jul,Anandapura,2 BHK,ViensRK,1141.0,2.0,1.0,42.79
Super built-up  Area,18-Aug,Chandapura,2 BHK,SuVue S,1025.0,2.0,2.0,27.68
Built-up  Area,Ready To Move,Yelahanka New Town,1 BHK,KHatsFl,650.0,1.0,2.0,33.0
Super built-up  Area,Ready To Move,Hebbal,2 BHK,Prersis,1349.0,2.0,1.0,98.0
Super built-up  Area,Ready To Move,Narayanapura,3 BHK,Veodsar,1566.0,3.0,1.0,83.3
Super built-up  Area,Ready To Move,Sahakara Nagar,4 BHK,OsrdsOr,2830.0,3.0,3.0,195.0
Super built-up  Area,Ready To Move,Varthur,2 BHK,Hirio L,1091.0,2.0,1.0,34.9
Super built-up  Area,Ready To Move,Rachenahalli,4 BHK,Leino C,3670.0,4.0,3.0,300.0
Super built-up  Area,20-Dec,Yeshwanthpur,4 BHK,Detat H,1950.0,4.0,0.0,130.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Shana S,1705.0,3.0,2.0,95.0
Built-up  Area,Ready To Move,Kalyan nagar,3 BHK,Disical,1375.0,3.0,2.0,75.0
Super built-up  Area,21-Oct,Kanakpura Road,1 BHK,PrarePa,525.0,1.0,1.0,30.0
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,SLaceda,1114.0,2.0,1.0,39.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,Brsiaen,1450.0,2.0,1.0,100.0
Built-up  Area,Ready To Move,Hebbal,2 BHK,Ratlet ,1000.0,2.0,2.0,45.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1128.0,2.0,1.0,68.75
Super built-up  Area,18-May,Kanakpura Road,2 BHK,Wiowsri,1180.0,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,PuandHi,1339.0,2.0,3.0,75.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1040.0,2.0,1.0,39.52
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,Klark L,1691.0,3.0,2.0,113.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Prityel,1075.0,3.0,2.0,36.0
Super built-up  Area,22-Dec,Bannerghatta Road,2 BHK,PrarePa,1122.5,2.0,0.0,58.935
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,Puestig,1665.0,3.0,2.0,86.58
Built-up  Area,Ready To Move,Brookefield,2 BHK,Mapleer,1142.0,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Kodbisanhalli,3 BHK,Diacee ,1976.0,3.0,1.0,184.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Shitt S,1175.0,2.0,2.0,51.47
Built-up  Area,Ready To Move,Subramanyapura,2 BHK,DSagax ,1200.0,2.0,2.0,52.0
Built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,Prs 2hi,995.0,2.0,1.0,41.0
Super built-up  Area,Ready To Move,Magadi Road,2 BHK,Vrenty ,884.0,2.0,1.0,41.1
Built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,IBityin,1170.0,2.0,2.0,57.0
Super built-up  Area,Ready To Move,KR Puram,2 BHK,LVniaar,1225.0,2.0,1.0,46.55
Super built-up  Area,18-Apr,Electronic City,2 BHK,Prarkun,1342.0,2.0,1.0,73.3
Built-up  Area,Ready To Move,Kodigehaali,3 BHK,Shyas S,1320.0,3.0,0.0,65.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,GrrvaGr,1140.0,2.0,1.0,49.39
Super built-up  Area,Ready To Move,Battarahalli,2 BHK,Sancy L,1300.0,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,Prtanha,2072.0,4.0,2.0,142.0
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GMown E,1360.0,2.0,1.0,71.0
Super built-up  Area,Ready To Move,Hosur Road,3 BHK,Sueneu ,1145.0,2.0,2.0,60.0
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Laihai ,1540.0,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,Adeatlm,1278.0,2.0,2.0,95.0
Super built-up  Area,18-May,Electronic City Phase II,1 BHK,SNbay G,630.0,1.0,1.0,40.0
Super built-up  Area,21-Jan,Kanakpura Road,3 BHK,PrarePa,1100.0,3.0,2.0,58.0
Plot  Area,Ready To Move,Bendiganahalli,3 Bedroom,Brersld,1200.0,3.0,0.0,95.0
Super built-up  Area,18-Jun,Chandapura,1 BHK,SuVue S,582.5,1.0,0.0,15.135
Super built-up  Area,18-Sep,Chandapura,2 BHK,SunceEs,1015.0,2.0,2.0,25.88
Super built-up  Area,Ready To Move,Ferrar Nagar,2 BHK,Leton A,1180.0,2.0,1.0,69.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Sonviik,1116.0,2.0,3.0,51.91
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,SrncyRe,1070.0,2.0,1.0,42.79
Super built-up  Area,17-Mar,Varthur,2 BHK,Uptusol,1385.0,2.0,3.0,80.0
Super built-up  Area,18-Aug,Magadi Road,2 BHK,Vrenty ,1005.0,2.0,1.0,55.78
